,sub_id,run,video_number,video_category,category,expected_fear,fear,arousal,valence
274,11,2,35,3,Spiders,0.122,0.225,0.672,0.16
275,11,2,32,3,Spiders,0.135,0.059,0.947,0.947
276,11,3,36,3,Spiders,0.093,0.104,0.551,0.499
277,11,3,28,3,Spiders,0.126,0.101,0.94,0.956
278,11,3,27,3,Spiders,0.095,0.618,0.94,0.612
279,11,3,18,2,Social,0.077,0.282,0.87,0.62
280,11,3,1,1,Heights,0.101,0.478,0.818,0.576
281,11,3,13,2,Social,0.126,0.247,0.898,1.0
282,11,3,20,2,Social,0.106,0.062,0.654,0.862
283,11,3,22,2,Social,0.108,0.098,0.143,0.499
284,11,3,31,3,Spiders,0.126,0.106,0.573,0.391
285,11,3,11,1,Heights,0.088,0.087,0.329,0.553
286,11,3,2,1,Heights,0.119,0.153,0.76,0.794
287,11,3,8,1,Heights,0.124,0.114,0.127,0.499
288,12,1,13,2,Social,0.277,0.337,0.776,0.68
289,12,1,24,2,Social,0.288,0.317,0.722,0.626
290,12,1,2,1,Heights,0.67,0.894,0.875,0.415
291,12,1,3,1,Heights,0.766,0.883,0.89,0.363
292,12,1,29,3,Spiders,0.272,0.316,0.706,0.589
293,12,1,34,3,Spiders,0.345,0.27,0.486,0.573
294,12,1,28,3,Spiders,0.135,0.363,0.79,0.535
295,12,1,22,2,Social,0.236,0.366,0.794,0.69
296,12,1,17,2,Social,0.265,0.278,0.691,0.551
297,12,1,31,3,Spiders,0.204,0.147,0.293,0.499
298,12,1,7,1,Heights,0.852,0.194,0.368,0.656
